_ - ,_ - voce/entry,_ - titolo/title,_ - sottitolo/subtitle,_ - autore/author,ids_authors,_ - genere/genre,_ - metro/mode,_ - luogo di pubblicazione/city,ids_city,_ - luogo di rappresentazione/location,ids_location,_ - editore/publisher,ids_publisher,_ - anno/year,_ - formato/format,_ - libretto,_ - compositore/composer,ids_composer,_ - traduzione/translation
565,"ANIMA DOLENTE. — in Bologna, per Giacomo Monti 1663 in 12. — di Gio. Francesco Savaro del Pizzo, Archidiacono di Mileto.",Anima Dolente,,Giovanni Francesco Savaro,Q3767286,?,,Bologna,Q1891,,,Giacomo Monti,Q93123102,1663,12,False,,,False
566,"ANNA RAPPRESENTATA, ovvero, La Grazia, e la Bellezza in Teatro guerreggianti, festeggianti, trionfanti. D.D.D. alla Sereniss. Madama Gran Duchessa di Toscana (in verso), del P. Diego Leguille, Accademico Sconosciuto, Teologo, e Predicatore Arciducale, in Ispruch, per Girolamo Agricola 1651 in 12. — Il P. Leguille Autore di quest'Opera era Napoletano, Riformato di S. Francesco, il quale nella Lettera Dedicatoria dice, che questi Comici passatempi veggono prima del Teatro il Cocchio di Germania. Il contenuto di questo Dramma è diviso in tre Prospettive, la prima, e la terza divisa in dieci, e la seconda in undici Apparati, con questo nome chiama gli Atti, e le Scene. Il soggetto di tutta l'Opera colle principali doti del Corpo presuppone le speziali dell'animo nella Serenissima Reggitrice de migliori Scettri di Germania. La Scena è in Ispruch, antica sede de Padroni della Contea del Tirolo, e Regia Arciducale de Regnanti Principi d'Austria. Dopo l'Opera si vede una spezie di Seconda parte col medesimo titolo, in cui si spiegano alcune cose relative a' Fatti accennati nella Poesia, ed a molte antiche erudizioni.",Anna Rappresentata,"La Grazia, E La Bellezza In Teatro Guerreggianti, Festeggianti, Trionfanti",Diego Leguille,,D,,Innsbruck,Q1735,,,Girolamo Agricola,,1651,12,False,,,False
567,"ANNA (S.) Poema Drammatico. Francesco Garsia, di Palermo.",Anna (S,,Francesco Garcia,,"Francesco Garsia,",,,,,,unknown,,0,,False,,,False
568,"ANNEGATA. Tragedia. — in Padova, per il Pasquati 1751 in 8 — dell'Infiammato delle Donne.",Annegata,,Infiammato delle Donne,,Tragedia,,Padua,Q617,,,Pasquati,,1751,8,False,,,False
569,"ANNIBALE IN CAPUA. Dramma rappresentato nel Teatro de' SS. Gio. e Paolo di Venezia l'anno 1661. — in Venezia, per Giacomo Batti. 1661 in 12. — Replicato in Bologna l'anno 1668. nel Teatro Formagliari. — in Bologna, per gli Eredi di Vittorio Benacci. 1668 in 12. — con qualche piccola variazione. — in Parma, per Mario Vigna, 1668 in 42. — Poesia del Co. Niccola Beregani, Patrizio Veneto. — Musica di Pier Andrea Ziani, Veneziano.",Annibale In Capua,,Niccolò Beregani,,Dramma,,Venice,Q641,Teatro Santi Giovanni e Paolo,Q3982137,Giacomo Batti,,1661,12,True,Pietro Andrea Ziani,Q1374725,False
570,"ANNIBALE. Dramma recitato nel Teatro di Sant'Angiolo di Venezia l'anno 1731 — in Venezia, per Carlo Buonarrigo. 1731 lin 12. — Poesia di Filippo Vastrio, Romano. — Musica di Niccola Porpora, Napoletano. Fu prima recitato in Roma.",Annibale,,Filippo Vastrio,,Dramma,,Venice,Q641,Teatro San Angelo,Q1110282,Carlo Buonarrigo,,1731,12,True,Nicola Porpora,Q312788,False
,,,,,,,,,,,,unknown,,,,,,,
571,"ANNUNCIATA. Dramma Sacro per Musica. — in Bologna, per l'Erede del Benacci 1636 in 8. — ed in Spoleti, per Gregorio Arnazzino.in 12. — di Gio. Niccolò Boldon Milanese.",Annunciata,,Giovanni Niccolò Boldon,,Dramma Sacro,,Bologna,Q1891,,,Eredi del Benacci,,1636,8,True,,,False
572,"ANNUNCIATA. Oratorio cantato Musica nella Città di Modona l'anno 1684 — in Modona, per gli eredi Soliani. 1684 in 8 — d'Incerto Autore.",Annunciata,,unknown,Q24238356,Oratorio cantato,,Modena,Q279,,,Eredi Soliani,,1684,8,False,,,False
573,"ANNUNCIATA. Rappresentazione, a giuntivi due Capitoli bellissimi. in Firenze, per Lorenzo Arnesi.in 4 — d'Incerto Autore.",Annunciata,,unknown,Q24238356,"Rappresentazione, a",,Florence,Q2044,,,Lorenzo Arnesi,,0,4,False,,,False
574,"ANNUNCIAZIONE DI NOSTRA DONNA. Rappresentazione, e Festa. in Firenze. 1554 e 1568 in 4 — Incerto Autore.",Annunciazione Di Nostra Donna,,unknown,Q24238356,"Rappresentazione, e",,Florence,Q2044,,,unknown,,1568,4,False,,,False
575,"ANNUNCIAZIONE DELLA B. VERGINE. Dramma Musicale. — in Firenze, per il Bonardi. 1656 in 4 — di Girolamo Bartolommei, già Smeducci, Fiorentino.",Annunciazione Della B,,Girolamo Bartolommei,Q109876959,VERGINE,,Florence,Q2044,,,Bonardi,,1656,4,False,,,False
576,ANTICAMERA DI D. PASQUALE. Commedia (in prosa). — in Bologna per Gioseffo Longhi. 1690 in 12. — del Dott. Rainieri Cenci.,Anticamera Di D,,Rainieri Cenci,,PASQUALE,prose,Bologna,Q1891,,,Giuseppe Longhi,Q98645100,1690,12,False,,,False
577,"ANTIGENIDE. Favola Musicale. — sen za luogo, Stampatore, ed anno. in 12 con le altre Poesie dell'Autore. — d Girolamo Bonsoni, di Rovigo.",Antigenide,,Girolamo Bonsoni,,Favola Musicale,,,,,,unknown,,0,12,False,,,False
578,"ANTIGONA. Tragedia. (in versi sciolti) rappresentata da Comici nel Teatro di S. Salvatore di Venezia l'anno 1717 — in Venezia, per Marino Rossetti. 1717 in 8 — dell'Ab. A. M. L. cioè, Antonio Maria Lucchini, Veneziano.",Antigona,,Antonio Maria Lucchini,Q328132,Tragedia,verse,Venice,Q641,Teatro Goldoni,Q3982376,Marino Rossetti,Q122599209,1717,8,False,,,False
579,"ANTIGONA LEGITTIMA. Tragedia. in Ceneda, per Domenico Bordoni 1717 in 8 — del March. Pietro Maria Suarez.",Antigona Legittima,,Pietro Maria Suarez,Q3904047,Tragedia,,Ceneda,Q2316315,,,Domenico Bordoni,,1717,8,False,,,False
580,"ANTIGONA IN TEBE. Opera Tragica (in prosa) tradotta dal Dramm. Musicale. — in Venezia, per Antonio Gislon. 1722 in 8. — Dalla invenzione di questa? cavata la Giocasta del Sig. Arciprete Girolamo Baruffaldi.",Antigona In Tebe,,,,Opera Tragica,prose,Venice,Q641,,,Antonio Gislon,,1722,8,False,,,True
581,"ANTIGONA. Tragedia da cantarsi nel Teatro di S. Cassiano di Venezia nel Carnevale dell'anno 1718 in Venezia per Marino Rossetti 1718 in 8 — Poesia di Merindo Fesanio Past. Arc. cioè Benedetto Pasqualigo, Patricio Veneto. — Musica di Giuseppe Maria Orlandini, Bolognese. Replicata, e ristretta ad uso di cantarsi per la seconda volta nel Teatro di Sant'Angiolo di Venezia l'anno 1721 — in Venezia, per il detto Rossetti, 1721 in 12. — Musica del detto Orlandini. — E per la terza volta ristretta ad uso di ricantarsi nel Teatro pure di S. Cassiano di Venezia l'anno 1724 — in Venezia per lo stesso Rossetti 1724 in 12. — con la Musica del sopraddetto Orlandini. — Replicata l'anno 1727 nel Teatro Malvezzi di Bologna col titolo di Fedeltà coronata, o sia l'Antigona. Musica dello stesso Orlandini.",Antigona,,Benedetto Pasqualigo,Q41617383,Tragedia da,,Venice,Q641,Teatro San Cassiano,Q246429,Marino Rossetti,Q122599209,1718,8,True,Giuseppe Maria Orlandini,Q594181,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
582,"ANTIGONA DELUSA DA ALCESTE. Dramma recitato nel Teatro de' SS. Gio. e Paolo di Venezia l'anno 1660 — in Venezia, per Giacomo Batti. 1660 in 12. — — Poesia di Aurelio Aurelii, Veneziano. — Musica di D. Pietr’Andrea Ziani, Veneziano, Canonico Lateranese. — Replicato l'anno 1661. nel Teatro Guastavillani di Bologna. — Musica del detto Ziani. E l'anno 1669 nel Teatro di S. Salvatore di Venezia con qualche piccola alterazione. — in Venezia per Stefano Curti. 1669 in 12. — Musica dello stesso Ziani.",Antigona Delusa Da Alceste,,Aurelio Aureli,Q775525,Dramma,,Venice,Q641,Teatro Santi Giovanni e Paolo,Q3982137,Giacomo Batti,,1660,12,True,Pietro Andrea Ziani,Q1374725,False
583,"ANTIGONE. Tragedia di Sofocle tradotta in Italiano (in prosa) — di Guido Guidi, il Giovane, Fiorentino, Medico, e Nipote di Guido Guidi, Preposto di Pescia.",Antigone,,Guido Guidi,,Tragedia,prose,,,,,unknown,,0,,False,,,True
584,"ANTIGONE. Tragedia dedicata dall'Autore al Cristianissimno Re Francesco I. — in Lione, per Sebastiano Griffio. 1533 in 8 — Venetiis, apud Haeredes Lucae Antonii Juntae. anno 1542 in 8 — con altre Opere dell'Autore. — ed in Venezia per la Società Albriziana. 1732 in 81. — unitamente a tre altre Tragedie antiche. — di Luigi Alamanni, Fiorentino. — l'Argomento (come chè breve) di questa Tragedia è composto da Antonio Bruccioli.",Antigone,,Luigi Alamanni,Q721846,Tragedia dedicata,,Lyon,Q456,,,Sebastiano Griffio,,1533,8,False,,,False
585,"ANTIGONO. Tragedia. — in Venezia, per Comin da Trino di Monferrato. 1565 in 4 — di M. Conte di Monte, Vicentino.",Antigono,,M. Conte di Monte,,Tragedia,,Venice,Q641,,,Comin da Trino,Q59629485,1565,4,False,,,False
586,"ANTIGONO TRADITO. Tragedia. — in Milano, nella Stamperia Archiepiscopale 1621 in 12. — di Pier Francesco Goano.",Antigono Tradito,,Pier Francesco Goano,,Tragedia,,Milan,Q490,,,Stamperia Archiepiscopale,,1621,12,False,,,False
587,"ANTIGONO TUTORE DI FILIPPO RE DI MACEDONIA. Dramma recitato nel Teatro di San Mosè di Venezia l'anno 1724 — in Venezia, per Carlo Buonarrigo. 1724 in 12. — Poesia di Giovanni Piazzon, di Serravalle. — Musica di Tommaso Albinoni, e Giovanni Porta, Veneziani.",Antigono Tutore Di Filippo Re Di Macedonia,,Giovanni Piazzon,,Dramma,,Venice,Q641,Teatro San Moisè,Q2575251,Carlo Buonarrigo,,1724,12,True,Tomaso Albinoni,Q174606,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
588,"ANTIGONO. Dramma rappresentato nel Teatro di S. Gio. Grisostomo. in Venezia. 1745 in 12. — Poesia dell'Ab. Pietro Metastasio, Romano. Musica del Bernasconi, di Verona.",Antigono,,Pietro Metastasio,Q29473,Dramma,,Venice,Q641,Teatro Malibran,Q3982047,unknown,,1745,12,False,,,False
589,"ANTILLIDA. Favola Pastorale. — in Venezia, per il Locatelli, 1744 in 8 — di Benedetto Giorgio Bravi.",Antillida,,Benedetto Giorgio Bravi,,Favola Pastorale,,Venice,Q641,,,Locatelli,,1744,8,False,,,False
590,"ANTILOCO. Tragicommedia. — in Ferrara, per Benedetto Mammarelli. 1594 in 4 — ed in Venezia, per Giambatista Ciotti. 1602 in 12. — di Giambatista Leoni, Accademico Veneziano.",Antiloco,,Giovanni Battista Leoni,Q19357554,Tragicommedia,,Ferrara,Q13362,,,Benedetto Mammarello,Q112382815,1594,4,False,,,False
591,"ANTIOCHIDE. Tragedia (in versi sciolti). — in Venezia, per Carlo Buonarrigo. senz'anno. in 8 — di Alsaro Gianipace, cioè, Carlo Paganicesa, di Belluno.",Antiochide,,Carlo Paganicesa,,Tragedia,verse,Venice,Q641,,,Carlo Buonarrigo,,0,8,False,,,False
592,"ANTIOCO. Dramma recitato nel Teatro di San Cassiano di Venezia l'anno 1705 — in Venezia, per Marino Rossetti. 1705. in 12. — Poesia di Apostolo Zeno, Veneziano, e dell'Ab. Pietro Pariati, di Reggio. — Musica di Francesco Gasparini, Romano. — Replicato in Padova nel Teatro Obizzi il Carnevale dell'anno 1715 — in Padova, per il Penada. 1715 in 12. — E poi nel Teatro di Sant'Angiolo di Venezia l'anno 1725 col nome di Seleuco, e con qualche cambiamento. — in Venezia, per Marino Rossetti. 1725 in 12. — Musica di Giovanni Zuccari, Mantovano.",Antioco,,Apostolo Zeno,Q349507,Dramma,,Venice,Q641,Teatro San Cassiano,Q246429,Penada,Q102280534,1715,12,True,Francesco Gasparini,Q446955,False
593,ANTIOCO. Dramma rappresentato in Firenze. — in Firenze nella Stamperia di S. P. senz'anno— Poesia d'Incerto Autore. — Musica di Francesco Cavalli Veneziano.,Antioco,,unknown,Q24238356,Dramma,,Florence,Q2044,,,Stamperia di S. P.,,0,,True,Francesco Cavalli,Q108062,False
594,"ANTIOCO. Dramma recitato nel Teatro di S. Cassiano di Venezia l'anno 1658 — in Venezia, per Andrea Giuliani. 1658 in 12. — Poesia di Niccolò Minato, Bergamasco. — Musica di Francesco Cavalli Veneziano, Maestro della Ducal Cappella di S. Marco di Venezia. — Replicato l'anno 1673. nel Teatro Formagliari di Bologna. — in Bologna, per l'Erede del Benacci. 1673 in 12. — Musica di Gio. Luca Carpiani.",Antioco,,Nicolò Minato,Q1987241,Dramma,,Venice,Q641,Teatro San Cassiano,Q246429,Andrea Giuliani,,1658,12,True,Francesco Cavalli,Q108062,False
,,,,,,,,,,,,unknown,,,,,,,
595,"ANTIOCO IL GRANDE. Dramma recitato nel Teatro di S. Gio. Grisostomo di Venezia l'anno 1681 — in Venezia, per Francesco Niccolini, 1681 in 12. — Poesia del Dott. Girolamo Frisari, Veneziano. — Musica di Giovanni Legrenzi, Bergamasco, Maestro di Cappella della Chiesa Ducale di S. Marco di Venezia.",Antioco Il Grande,,Girolamo Frisari,Q113866193,Dramma,,Venice,Q641,Teatro Malibran,Q3982047,Francesco Niccolini,,1681,12,True,Giovanni Legrenzi,Q354947,False
,,,,,,,,,,,,unknown,,,,,,,
596,"ANTIORA. Dramma recitato nel Teatro di Sala in Ferrara con Musica e Macchine. — in Ferrara, per Francesco Suzzi. 1653. e 1658 in 8 — ed ivi, per Giulio Bolzoni Giglio, e Giuseppe Formentini. 1666 in 12. — con altre nove. — di Francesco Berni, Ferrarese.",Antiora,,Francesco Berni,Q655618,Dramma,,Ferrara,Q13362,Sala Estense,Q3945228,Francesco Suzzi,,1658,8,False,,,False
597,"ANTIOPA GIUSTIFICATA. Dramma Guerriero. — in Monaco, per Giovanni Jecklino. 1662 in 4 — del Co. Pietro Paolo Bissari, di Vicenza.",Antiopa Giustificata,,Pietro Paolo Bissari,Q30524276,Dramma Guerriero,,Monaco,Q235,,,Johann Jäcklin,Q112421707,1662,4,False,,,False
598,"ANTIVALOMENI. Tragedia. — in Venezia, per Giulio Cesare Cagnaccint. 1583 in 12. — di Giambatista Giraldi Cintio, Ferrarese.",Antivalomeni,,Giovanni Battista Giraldi,Q724672,Tragedia,,Venice,Q641,,,Giulio Cesare Cagnaccini,,1583,12,False,,,False
599,"ANTONINO, E POMPEJANO. Dramma recitato nel Teatro di S. Salvatore di Venezia l'anno 1677 — in Venezia, per Francesco Niccolini. 1677 in 12. — Poesia di Giacomo Francesco. Bussani, Veneziano. — Musica di Antonio Sartorio, Veneziano, maestro di Capella del Principe di Brunsvich, e Vicemaestro della Ducal Cappella di S. Marco. — Replicato in Brescia l'anno 1689 — in Brescia, per gli Eredi di Giacomo Turlino, 1689 in 12. — Musica di Carlo Francesco Pollaroli, Bresciano. — e l'anno 1691, nel Teatro Formagliari della Città di Bologna.","Antonino, E Pompejano",,Giacomo Francesco Bussani,Q3105052,Dramma,,Venice,Q641,Teatro Goldoni,Q3982376,Eredi di Giacomo Turlino,,1677,12,True,Antonio Sartorio,Q605062,False
,,,,,,,,,,,,unknown,,,,,,,
600,"ANTONIO IL GRANDE. Opera Sacra (in prosa). — in Napoli, per Michel Luigi Muzio. 1720 in 12. — di Andrea Gionti.",Antonio Il Grande,,Andrea Gionti,,Opera Sacra,prose,Naples,Q2634,,,Michele Luigi Muzio,Q88163062,1720,12,False,,,False
601,"ANTRO DELLA ETERNITÀ. Invenzione d'un Torneo a piedi per la Festa del Giorno Natalizio di Ferdinando II. Melodramma. — in Ancona, per Marco Salvioni, 1647 in 4 — di Prospero Co. Bonarelli, della Rovere, d'Ancona.",Antro Della Eternità,,Prospero Bonarelli,Q3407825,Invenzione d'un,,Ancona,Q124515882,,,Giovanni Marco Salvioni,Q118278080,1647,4,False,,,False
602,"ANTRO, ovvero GL'INGANNATI AMANTI. Favola Pastorale recitata nelle nozze de Principi di Venosa in Venezia, per Evangelista Deuchinochio. 1622 in 4 — di Francesco Fiamma.",Antro,Gl'Ingannati Amanti,Francesco Fiamma,,Favola Pastorale,,Venice,Q641,,,Evangelista Deuchino,Q108717337,1622,4,False,,,False
603,"API RIVERITE. Azione Drammatica recitata l'anno 1628 in Bologna nella Sala Zoppi. — in Bologna, per Clemente Ferroni. 1628 in 4 — del Co. Bernardino Marescotti, Bolognese, nell'Accademia de' Gelati, Notturno.",Api Riverite,,Bernardino Marescotti,,Azione Drammatica,,Bologna,Q1891,,,Clemente Ferroni,Q57960385,1628,4,False,,,False
604,"APOSTOLO DELLA SPAGNA. Tragedia Sacra. — in Palermo, per Giambatista Maringo. 1633 in 12. — del P. Ortensio. Scamacca, Siciliano, della Compagnia di Gesù.",Apostolo Della Spagna,,Ortensio Scamacca,,Tragedia Sacra,,Palermo,Q2656,,,Giovanni Battista Maringo,Q107379881,1633,12,False,,,False
605,"APOTEOSI DI ALCIDE. Cantata (a quattro voci) rappresentata per trattenimento de' Signori Accademici Geniali di Padova nella Fiera dell'anno 1732. — in Padova, per il Penada. 1732 in 4 — Poesia di Giambatista Zangarini, Accademico Geniale. — Musica di Giuseppe Antonio Paganelli, Accademico Geniale.",Apoteosi Di Alcide,,Giambatista Zangarini,,Cantata,,Padua,Q617,,,Penada,Q102280534,1732,4,True,Giuseppe Antonio Paganelli,Q1528122,False
,,,,,,,,,,,,unknown,,,,,,,
606,"APOLLINARE (S.) Tragica Rappresentazione. — in Verona nella Stamperia di Angelo Tomo. 1607 in 4 — di Francesco Bertoldi, di Salò.",Apollinare (S,,Francesco Bertoldi,,?,,Verona,Q2028,,,Angelo Tomo,,1607,4,False,,,False
607,"APOLLO, E LEUCOTOE. Tragicommedia. — in Fiorenza. — in 8 — di Francesco Sallustio Buonguglielmi Fiorentino.","Apollo, E Leucotoe",,Francesco Sallustio Buonguglielmi,,Tragicommedia,,Florence,Q2044,,,unknown,,0,8,False,,,False
608,"APOLLO GELOSO. Dramma per Musica. — in Modona, per Bartolommeo Soliani. 1708 in 8 — Poesia d'Incerto Autore.",Apollo Geloso,,unknown,Q24238356,Dramma,,Modena,Q279,,,Bartolomeo Soliani II,Q122599216,1708,8,True,,,False
609,"APOLLO GELOSO. Dramma recitato in Bologna l'anno 1698 nel Teatro Formagliari. — Poesia del Dott. Pier Jacopo Martelli, Bolognese. — Musica di Giacomo Antonio Perti, Bolognese.",Apollo Geloso,,Pier Jacopo Martello,Q3902896,Dramma,,,,Teatro Guastavillani/Formagliari,,unknown,,1698,,True,Giacomo Antonio Perti,Q545451,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
610,"APOLLO IN TEMPE. Trattenimento Pastorale in Musica (a quattro voci, ed'un Coro) — in Venezia, per Marino Rossetti. 1712 in 4 — d'Incerto Autore.",Apollo In Tempe,,unknown,Q24238356,Trattenimento Pastorale,,Venice,Q641,,,Marino Rossetti,Q122599209,1712,4,False,,,False
611,"APOLLO, E DAFNE. Dramma recitato l'anno 1634 —in Bologna nella Sala Zoppi. — del Co. Andrea Barbazza, Bolognese.","Apollo, E Dafne",,Andrea Barbazza,Q21548210,Dramma,,Bologna,Q1891,,,unknown,,1634,,False,,,False
612,"APOLLO SU L'ANFRISO. Favola Pastorale (in prosa) — in Guastalla, per Alessandro Giavazzi. 1690 in 8 — di Don Domenico Repetta.",Apollo Su L'Anfriso,,Domenico Repetta,,Favola Pastorale,prose,Guastalla,Q111205,,,Alessandro Giavazzi,,1690,8,False,,,False
613,"APOLLO FAVOREVOLE. Tragicommedia Politica dedicata al Clariss. Sign. Giovanni Badoaro nelle felicissime Nozze della Clariss. Signora Maria Contarini. — in Venezia, per Giambatista Ciotti, Sanese, 1597 in 12. — di Giacomo Turamini, che intitola quest'Opera una fatica sua giovanile.",Apollo Favorevole,,Giacomo Turamini,,Tragicommedia Politica,,Venice,Q641,,,Giovanni Battista Ciotti,Q17279972,1597,12,False,,,False
614,APOLLO IN TRATTENIMENTO COL RENO. Dramma recitato in Bologna l'anno 1621 — di Silvestro Branchi.,Apollo In Trattenimento Col Reno,,Silvestro Branchi,,Dramma,,,,,,unknown,,1621,,False,,,False
615,"APOLLO IN TESSAGLIA. Dramma recitato nel Teatro Formagliari di Bologna l'anno 1679. — Poesia di Tommaso Stanzani. — Musica di Petronio Franceschini, Bolognese.",Apollo In Tessaglia,,Tommaso Stanzani,,Dramma,,,,Teatro Guastavillani/Formagliari,,unknown,,1679,,True,Petronio Franceschini,Q492200,False
,,,,,,,,,,,,unknown,,,,,,,
616,"APOLLONIA VERGINE (S.), E MARTIRE. Rappresentazione (in ottavo rima) — in Siena, alla Loggia del Papa. senz'anno, in 4 — e in Firenze, l'anno della Incarnazione di Nostro Signore. 1544 e 1554 in 4 d'incerto Autore.",Apollonia Vergine (S,,unknown,Q24238356,Rappresentazione,,Siena,Q2751,,,unknown,,0,4,False,,,False
617,"APPARATO DELLA TRAGEDIA DELLA PASSIONE DEL SALVATOR NOSTRO GESÙ CRISTO, tradotta in versi Italiani, con la descrizione in versi Latini. — senza luogo, e nome di Stampatore, 1672 — del P. Alessandro Bovio, Bolognese, del terzo Ordine di S. Francesco. — I versi Latini poi sono del P. Daniello David, della Compagnia di Gesù.","Apparato Della Tragedia Della Passione Del Salvator Nostro Gesù Cristo, Tradotta In Versi Italiani, Con La Descrizione In Versi Latini",,Alessandro Bovio,,— senza,verse,N/A,Q929804,,,unknown,,1672,,False,,,True
618,"APPARATO, E FESTE NELLE NOZZE DELL'ILLUSTRISS. SIGNOR DUCA DI FIRENZE CON LE SUE STANZE. Commedia, ed Intermedj in quella recitati. — in Firenze, per Benedetto Giunti. 1539 in 8 — ed ivi, per li Giunti, 1566 in 8 — La descrizione delle Feste è di Pier Francesco Giambullari. — Le stanze di Giambatista Gelli, Fiorentino. — la Commedia (in prosa) di Antonio Landi, intitolata, il Commodo. — E gl'intermezzi di Giambatista Strozzi.","Apparato, E Feste Nelle Nozze Dell'Illustriss",,,,SIGNOR DUCA,prose,Florence,Q2044,,,Benedetto Giunti,Q116810594,1539,8,False,,,False
,,,,,,,,,,,,unknown,,,,,,,
619,"APPIO CLAUDIO. Dramma rappresentato nel Teatro di Sant'Angiolo di Venezia l'anno 1683 — in Venezia, per Francesco Niccolini, 1683 in 12. — Poesia di Adriano Morsel11, Veneziano. — Musica di Gio. Marco Martini, Veneziano.",Appio Claudio,,Adriano Morselli,Q2825078,Dramma,,Venice,Q641,Teatro San Angelo,Q1110282,Francesco Niccolini,,1683,12,True,Giovanni Marco Martini,,False
620,"APPIO CLAUDIO. Tragedia. Napoli, nella Stamperia di Felice Mosca, 1712 in 8, con altre quattro. — ed ivi, per Domenico Antonio, e Niccola Parrins, 1717 in 8 — Poesia del Dott. Vincenzo Gravina, Napoletano.",Appio Claudio,,Giovanni Vincenzo Gravina,Q727363,Tragedia,,,,,,Felix Carolus Musca,Q93427544,1712,8,False,,,False
621,"APPLAUSI TRIONFALI CANTATI NELL'ORATORIO DE' R. R. P. P. DELLA COMPAGNIA DI GESÙ PER LA CANONIZZAZIONE DI S. FRANCESCO BORGIA. — in Ferrara per Giulio Bolzoni. senz'anno, in folio d'Incerto Autore.",Applausi Trionfali Cantati Nell'Oratorio De' R,,unknown,Q24238356,R,,Ferrara,Q13362,,,Giulio Bolzoni Giglio,,0,,False,,,False
622,"APPLAUSI MUSICALI ALLE GLORIE IMPAREGGIABILI DELL'ILLUSTR. ED ECCELLENTISS. SIGN. ANTONIO LANDO LUOGOTENENTE GENERALE DELLA PATRIA DEL FRIULI. Serenata (a tre voci) — in Bassano, per Gio. Antonio Remondini. 1713 in 8 — di Giorgio Masotti.",Applausi Musicali Alle Glorie Impareggiabili Dell'Illustr,,Giorgio Masotti,,Serenata (a tre voci),,Bassano del Grappa,Q30022648,,,Giovanni Antonio Remondini,Q59629223,1713,8,False,,,False
,,,,,,,,,,,,unknown,,,,,,,
623,"APPLAUSI NATALIZI. Rappresentazione del Natale di Cristo Nostro Signore. — n Venezia, per Alessandro Polo. 1620 in 12. — di Giuseppe Mozzagrugno, di Lucera nella Puglia.",Applausi Natalizi,,Giuseppe Mozzagrugno,,Rappresentazione del,,,,,,Alessandro Polo,,1620,12,False,,,False
624,"APPLAUSI URBANI. Dramma. — in Roma, per Francesco Corbelletti 1631 in 12. — di Ottavio Tronsarelli, Romano.",Applausi Urbani,,Ottavio Tronsarelli,Q113853427,Dramma,,Rome,Q220,,,Francesco Corbelletti,Q1003311,1631,12,False,,,False
625,"APPLAUSO DI LACRIME AL TRIONFO DELLA CROCE. Oratorio. — il Palermo, per Pietro Coppola in 4 — di Vincenzo Giattino, di Palermo.",Applauso Di Lacrime Al Trionfo Della Croce,,Vincenzo Giattini,,Oratorio,,,,,,Pietro Coppola,,0,4,False,,,False
626,"APPLAUSO POETICO IN FORMA DI SERENATA NEL GIORNO NATALIZIO DEL SERENISS. PRINCIPE ODOARDO DI PARMA. — in Parma nella Stamperia Ducale. 1692 in 8 — nella raccolta di Cantate, e Oratorj di Diversi. — d'Incerto Autore.",Applauso Poetico In Forma Di Serenata Nel Giorno Natalizio Del Sereniss,,unknown,Q24238356,PRINCIPE ODOARDO,verse,Parma,Q2683,,,Stamperia Ducale,,1692,8,False,,,False
627,APPLAUSO DEGLI ELEMENTI. Dramma recitato l'anno 1685 nella Città di Bologna. — d'Incerto Autore.,Applauso Degli Elementi,,unknown,Q24238356,Dramma,,,,,,unknown,,1685,,False,,,False
628,"APPOSTOLI RATTRISTATI NEL TRANSITO DELLA VERGINE. Oratorio. — Poesia di Vincenzo Parisi, di Palermo.",Appostoli Rattristati Nel Transito Della Vergine,,Vincenzo Parisi,,Oratorio,,,,,,unknown,,0,,False,,,False
629,"AQUILA REDIVIVA. Oratorio Musicale nell'Assunzione dell'Illustriss. e Reverendiss. D. Carlo Molza al Vescovato di Modona. — in Modona, per il Cassani, senz'anno in 4 — del P. Antonio Santi, della Compagnia di Gesù.",Aquila Rediviva,,Antonio Santin,Q605025,Oratorio Musicale,,Modena,Q279,,,Cassani,,0,4,False,,,False
630,"AQUILIO IN SIRACUSA. Dramma rappresentato nel Regio Ducal Teatro di Milano, in occasione di celebrarsi il giorno Natalizio della Ces. Catt. M. di Elisabetta Cristina Imperadrice, &c. &c. &c. — in Milano, per Giuseppe Richino Malatesta. 1702 in 12. — d'Incerto Autore.",Aquilio In Siracusa,,unknown,Q24238356,Dramma,,Milan,Q490,Teatro Regio Ducal,Q3277167,Giuseppe Richino Malatesta,Q122599193,1702,12,False,,,False
631,"ARACINDA. Favola Pastorale. — in Pisa, per Silvestro Marchetti, 1629 in 12. — d'Ilario Mancini.",Aracinda,,Ilario Mancini,,Favola Pastorale,,Pisa,Q13375,,,Silvestro Marchetti,Q118733458,1629,12,False,,,False
632,"ARAGONESE. Tragedia. — in Trapani, per la Barbera. 1682 — di Giulio Cesare Bagnuoli.",Aragonese,,Giulio Cesare Bagnoli,Q110627466,Tragedia,,Trapani,Q13664,,,Barbera,,1682,,False,,,False
