voce/entry,titolo/title,sottitolo/subtitle,autore/author,genere/genre,metro/mode,luogo di pubblicazione/city,luogo di rappresentazione/location,editore/publisher,anno/year,formato/format,libretto,compositore/composer,traduzione/translation
"ERNANDO. Tragedia Morale, data in luce da Martino la Farina. — Palermo, per Giambatista Maringo 1633 in 12. — del P. Ortensio Sca macca, Siciliano di Lentini, della Compagnia di Gesù.",Ernando,,Ortensio Scamacca,tragedia morale,,,,"<a href=""https://www.wikidata.org/wiki/Q107379881"">Giovanni Battista Maringo</a>",1633,12,False,,False
"ERO, E LEANDRO. Favola Marittima, con gl'Intermedi apparenti, col Montano, Egloga. — in Roma per Guglielmo Facciotto, 1630 in 12. — di Francesco Bracciolini dalle Api, di Pistoja.","Ero, E Leandro",,"<a href=""https://www.wikidata.org/wiki/Q322022"">Francesco Bracciolini</a>",favola marittima,,"<a href=""https://www.wikidata.org/wiki/Q220"">Rome</a>",,"<a href=""https://www.wikidata.org/wiki/Q55227318"">Guglielmo Facciotto</a>",1630,12,False,,False
"ERODIADE. Tragedia. — in Firenze, per Francesco Tosi 1594 in 8 — di Giambatista Marzi, di Città di Castello.",Erodiade,,Giambattista Marzi,tragedia,,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",,"<a href=""https://www.wikidata.org/wiki/Q118733379"">Francesco Tosi</a>",1594,8,False,,False
"ERODIADE, ovvero, la Decollazione di S. Gio. Batista. Opera Tragica. in Venezia, per Domenico Lovisa 1701 in 8 — del P. Filippo Tommassini, Napolitano, Riformato di S. Francesco.",Erodiade,La Decollazione Di S,Filippo Tomassini,,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q19569565"">Domenico Lovisa</a>",1701,8,False,,False
"ERODIADE, ovvero, la Morte di San Gio. Batista, Oratorio per Musica recitato nella Chiesa de Mendicanti di Venezia dalle Vergini di quell'Ospitale. — in Venezia, per Antonio Bosio. 1687 in 4 — del Dottor Francesco Maria Piccioli, Padovano.",Erodiade,La Morte Di San Gio,"<a href=""https://www.wikidata.org/wiki/Q102287540"">Francesco Maria Piccioli</a>",oratorio,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q61473855"">Antonio Bosio</a>",1687,4,True,,False
"EROFILOMACHIA, ovvero, Duello d Amore, e d'Amicizia, Commedia (in prosa): — in Venezia, per G. B. e Gio. Bernardo Sessa, 1597 in 12. — di Sforza d'Oddi Perugino. — E diversa dall'altra, che ha per titolo Duello d'Amore, e di Amicizia. Nella quarta Edizione ci fu aggiunto un discorso di Bernardino Pino da Cagli, antorno al Componimento della Commedia de nostri tempi. — in Venezia, per gli Eredi del Sessa. 1586 in 12. — ivi, per il Spineda, 1606 in 12. — ivi, per il Valentini, 1622 in 12",Erofilomachia,"Duello D Amore, E D'Amicizia, Commedia (In Prosa): — In Venezia, Per G","<a href=""https://www.wikidata.org/wiki/Q16268327"">Sforza degli Oddi</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,Eredi del Sessa,1597,12,False,,False
"EROINA DELLA FEDE. Sacra Rappresentazione del Martirio della gloriosa Vergine S. Cristina Padrona della Città di Palermo. — in Palermo, per Antonio Pecora. 1713 in 12. — di Giovanni Cafora, di Palermo.",Eroina Della Fede,,Giovanni Cafora,rappresentazione sacra,,"<a href=""https://www.wikidata.org/wiki/Q2656"">Palermo</a>",,Antonio Pecora,1713,12,False,,False
"EROSILDA. Dramma rappresentato nel Teatro nuovo del Sig. Duca di Modona. — in Modona, per Bartolommeo Soliani. 1658 in 4 — di Carlo Vigarani.",Erosilda,,"<a href=""https://www.wikidata.org/wiki/Q2878912"">Carlo Vigarani</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q279"">Modena</a>",Teatro Nuovo di Modena,"<a href=""https://www.wikidata.org/wiki/Q122599216"">Bartolomeo Soliani II</a>",1658,4,False,,False
"EROSTRATO, o sia, l'Infamia del Nome acquistata col nero ignominioso mezzo delle scelleraggini. Dramma recitato l'anno 1604 in Bologna in Casa Bentivoglio. — di Virginio Amoretti, da Bombiana, Terraude Bolognese.",Erostrato,L'Infamia Del Nome Acquistata Col Nero Ignominioso Mezzo Delle Scelleraggini,Virginio Amoretti,dramma,,"<a href=""https://www.wikidata.org/wiki/Q1891"">Bologna</a>",,unknown,1604,,False,,False
"EROTILLA. Trageda per le Nozze del Sig. Principe Marc'Antonio Borghese, e D. Cammilla Orsina in Venezia, per il Violati, 1615 in 4 — in Roma, per Guglielmo Facciotti. 1606 in 12. — in Venezia, senza Stampatore, 1617. in 4 ed ivi, per Gio. Alberti 1612 un 12. — di Giulio Attolzi, di origine Fiorentino, ma nato in Venezia.",Erotilla,,Giulio Attolzi,tragedia,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,unknown,1615,4,False,,False
"EROTODO IN ASTIA, ovvero, Potenza d'Amore. Commedia (in prosa) rappresentata nel Colleggio di Capranica di Roma l'anno 16147 — in Viterbo, per i Discepoli 1615 e 1621 in 12. — in Venezia, per Angiolo Salvadori, 1625 in 12. — ed in Viterbo, per Bernardino Diotallevi. 1632 in 12. — di Marc'Antonio Rimondi, Romano.",Erotodo In Astia,Potenza D'Amore,Marc'Antonio Raimondo,commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q13395"">Viterbo</a>",,"<a href=""https://www.wikidata.org/wiki/Q86599631"">Pietro Discepolo</a>",1621,12,False,,False
"ERRORE. Commedia (in prosa). in Firenze, per il Giunti, 1603 in 18. — di Giambatista Gelli, Fiorentino.",Errore,,"<a href=""https://www.wikidata.org/wiki/Q518160"">Giambattista Gelli</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",,"<a href=""https://www.wikidata.org/wiki/Q3107961"">Giunti</a>",1603,18,False,,False
"ERRORI D'AMORE. Commedia (in terza rima). — in Venezia, per Francesco Bindoni, e Masseo Pasini. 1526 in 8 — ed ivi, per Niccolò d'Aristorile detto Zoppino. 1528 in 8 — di Marcol Guazzo, Padovano.",Errori D'Amore,,"<a href=""https://www.wikidata.org/wiki/Q3846186"">Marco Guazzo</a>",commedia,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q110489041"">Francesco Bindoni</a>",1526,8,False,,False
"ERRORE FEMMINEO. Tragedia. — senza luogo, Stampatore, ed anno. in 8 — del Notturno Napoletano.",Errore Femmineo,,"<a href=""https://www.wikidata.org/wiki/Q113255772"">Notturno napoletano</a>",tragedia,,"<a href=""https://www.wikidata.org/wiki/Q929804"">nan</a>",,unknown,0,8,False,,False
"ERRORE INNOCENTE, ovvero, gli Equivoci nel Sembiante. Dramma recitato l'anno 1679 nel Teatro Formagliari di Bologna. — Poesia, e Musica d'Incerti Autori.",Errore Innocente,Gli Equivoci Nel Sembiante,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",dramma,,,Teatro Guastavillani/Formagliari,unknown,1679,,False,,False
"ERRORI. Commedia (in prosa). in Venezia, per Cornelio de' Niccolini. senz'anno. in 8 — di Giacomo Cenci, Romano.",Errori,,"<a href=""https://www.wikidata.org/wiki/Q110262718"">Giacomo Cenci</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,Cornelio de' Niccolini,0,8,False,,False
"ERRORI AMOROSI. Commedia (in prosa). — in Venetia, per Giambattista Ciotti, 1613. in 12. — di Francesco Valentini, nell'Accademia degli Ecentrici detto il Forte.",Errori Amorosi,,"<a href=""https://www.wikidata.org/wiki/Q28800577"">Francesco Valentini</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,Giambattista Ciotti,1613,12,False,,False
"ERRORI DELLA GELOSIA, ovvero, dalla Menzogna il vero. Commedia (in prosa). — in Napoli, nella Stamperia di Michele Luigi Muzio. 1720 in 12. — di Giuseppe di Vito, Napoletano.",Errori Della Gelosia,Dalla Menzogna Il Vero,Giuseppe di Vito,commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q2634"">Naples</a>",,"<a href=""https://www.wikidata.org/wiki/Q88163062"">Michele Luigi Muzio</a>",1720,12,False,,False
"ERRORI INCOOMITI. Commedia (in prosa) — in Firenze, per Giorgio Marescotti. 1586 e 1588 in 8 — di Pietro Buonfanti, di Bibbiena.",Errori Incoomiti,,"<a href=""https://www.wikidata.org/wiki/Q61473992"">Pietro Buonfanti</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",,"<a href=""https://www.wikidata.org/wiki/Q55998558"">Giorgio Marescotti</a>",1588,8,False,,False
"ERSILIA. Commedia. in Viterbo, per i Discepoli.1616 e 1622 in 12. — in Venezia, per Domenico, e Pietro Ussi. 1628. in 12. — ed in Orvieto, per. Rinaldo Ruuli. 1643 n 12. — di Virgilio Verucci, Dottor di Legge, e Accademico Intrigato di Roma.",Ersilia,,"<a href=""https://www.wikidata.org/wiki/Q30333055"">Virgilio Verucci</a>",commedia,,"<a href=""https://www.wikidata.org/wiki/Q13395"">Viterbo</a>",,"<a href=""https://www.wikidata.org/wiki/Q86599631"">Pietro Discepolo</a>",1622,12,False,,False
"ERSILLA. Dramma recitato, nel Teatro di San Mosen di Venezia l'anno 1648 in Venezia, per Francesco Valvasense 1648 in 11. — Poesia di Gio. Faustini, Veneziano. — Musica di Diversi.",Ersilla,,"<a href=""https://www.wikidata.org/wiki/Q380786"">Giovanni Faustini</a>",dramma,verse,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>","<a href=""https://www.wikidata.org/wiki/Q2575251"">Teatro San Moisè</a>","<a href=""https://www.wikidata.org/wiki/Q122599222"">Francesco Valvanese</a>",1648,11,True,,False
"ESALTAZLONE DELLA SANTACROCE. ridotta in atto recitabile rappresentativo, recitata in Firenze da Giovani della Compagnia di S. Gio. Evangelista, coll'occasione delle Nozze del Gran Duca di Toscana. — in Firenze, per Michel Angiolo di Bartolommeo Sermartelli 1592 in 8 — in Seravalle di Venezia, per Marco Claseri. 1605 in 12. — di Gio. Maria Cecchi, Fiorentino.",Esaltazlone Della Santacroce,,"<a href=""https://www.wikidata.org/wiki/Q426305"">Giovanni Maria Cecchi</a>",ridotta,,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",,"<a href=""https://www.wikidata.org/wiki/Q19569497"">Bartolomeo Sermartelli</a>",1592,8,False,,False
"ESILIO D'AMORE. Melodramma nella venuta in Ancona della Serenissima Principessa Claudia de Medici. — in Ancona, per Marco Salvioni 1647 in 4, con otto altri del medesimo Autore dedicati alla Sereniss. D. Vittoria Gran Duchessa, di Toscana in data di Firenze 1647 23 Marzo da Lorenzo Figliuolo dell'Autore. — del Co. Prospero Bonarelli della Rovere, d'Ancona.",Esilio d'Amore,,"<a href=""https://www.wikidata.org/wiki/Q3407825"">Prospero Bonarelli</a>",melodramma nella,,"<a href=""https://www.wikidata.org/wiki/Q124515882"">Ancona</a>",,"<a href=""https://www.wikidata.org/wiki/Q118278080"">Giovanni Marco Salvioni</a>",1647,4,False,,False
"ESILIO D'AMORE. Dramma cantato in Ferrara nel Teatro del Cortile, con macchine ordinate da Carlo Pasetti. — in Ferrara, per Giuseppe Gironi. 1651. in 12. — ed ivi, per Giulio Bolzoni, e Giuseppe Formenti 1666 in 11. — con altre nove. — Poesia del Conte Francesco Berni, Ferrarese. — Musica di Andrea Mattioli Mantovano, e Filiberto Laurenziano, d Auson Intermezzi rappresentati nel Medoro Tragedia dell'istesso Autore. — in Ancona, per Marco Salvioni, 1623 in 12. — Poesia del Conte Prospero Bonarelli, d'Ancona.",Esilio D'Amore,,"<a href=""https://www.wikidata.org/wiki/Q655618"">Francesco Berni</a>",dramma cantato,,"<a href=""https://www.wikidata.org/wiki/Q13362"">Ferrara</a>",Teatro del Cortile,Giuseppe Gironi,1666,12,True,"<a href=""https://www.wikidata.org/wiki/Q3615845"">Andrea Mattioli</a>",False
"ESILIO AMOROSO. Favola Boschereccia. — in Ferrara, per Vittorio Baldini, 1607. in 12. — di Alessandro Calderoni, di Faenza.",Esilio Amoroso,,"<a href=""https://www.wikidata.org/wiki/Q21548195"">Alessandro Calderoni</a>",favola boschereccia,,"<a href=""https://www.wikidata.org/wiki/Q13362"">Ferrara</a>",,"<a href=""https://www.wikidata.org/wiki/Q4015285"">Vittorio Baldini</a>",1607,12,False,,False
"ESONE RINGIOVINITO. Dramma recitato l'anno 1706 nella Città di Bologna. — Poesia di Tommaso Stanzani, Bolognese. — Musica di Pietro Paolo Laurenti.",Esone Ringiovinito,,Tommaso Stanzani,dramma,,,,unknown,1706,,True,"<a href=""https://www.wikidata.org/wiki/Q3904133"">Pietro Paolo Laurenti</a>",False
"ESOPO IN CITTÀ. Commedia tradotta dal Francese. — in Venezia, per il Bassaglia, 1748 in 12. — dal Co. Gasparo Gozzi.",Esopo In Città,,"<a href=""https://www.wikidata.org/wiki/Q1232500"">Gasparo Gozzi</a>",commedia,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q112466343"">Pietro Bassaglia</a>",1748,12,False,,True
"ESOPO IN CORTE. Commedia tradotta dal Francese (in prosa). — in Bologna, per il Longhi 1719 in 12. — del Co. Antonio Zaniboni, Bologneuse. — Fu anche tradotta la suddetta Commedia dal Co. Gasparo Gozzi, col titolo di Favole di Esopo alla Corte.",Esopo In Corte,,"<a href=""https://www.wikidata.org/wiki/Q605793"">Antonio Zaniboni</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q1891"">Bologna</a>",,"<a href=""https://www.wikidata.org/wiki/Q98645100"">Giuseppe Longhi</a>",1719,12,False,,True
"ESOPO. Tragicommedia per Musica rappresentata alle Sacre Ces. Maestà nel Carnevale dell'anno 1703 — in Vienna, per gli Eredi Cosmeroviani. 1703 in 8 — Poesia d'Incerto Autore. — Musica di Marc'Antonio Ziani, Veneziano, Maestro di Cappella di S. M. Ces.",Esopo,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",tragicommedia,,"<a href=""https://www.wikidata.org/wiki/Q1741"">Vienna</a>",,Eredi Cosmeroviani,1703,8,True,"<a href=""https://www.wikidata.org/wiki/Q302270"">Marc'Antonio Ziani</a>",False
"ESSEQUIE DEL REDENTORE. Sacra Rappresentazione (in prosa) — in Venezia, per Marco Ginammi. 1633 in 12. — di Don Francesco Belli.",Essequie Del Redentore,,Francesco Belli,rappresentazione sacra,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q59526923"">Marco Ginammi</a>",1633,12,False,,False
"EST LOCANDA. Commedia (in prosa). — in Viterbo, per il Bilancioni. 1648 in 12. — dell'Accademico Disunito, detro l'Incapace, cioè, Florindo de Silvestris.",Est Locanda,,"<a href=""https://www.wikidata.org/wiki/Q3746766"">Florido de Silvestris</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q13395"">Viterbo</a>",,Bilancioni,1648,12,False,,False
"ESTER. Azione Sacra per Musica cantata nell'Augustissima Cappella della Sac. Ces. Catt. R. M. di Carlo VI Imperator de' Romani sempre Augusto l'1738 — in Vienna, per Gio. Pietro Van Ghelen. 1738 in 4 — Poesia dell'Ab. Pietro Metastasio, Romano, Poeta di Sua Maestà Cesar. e Catt. — Musica di Carlo Arrigoni.",Ester,,"<a href=""https://www.wikidata.org/wiki/Q29473"">Pietro Metastasio</a>",azione sacra,,"<a href=""https://www.wikidata.org/wiki/Q1741"">Vienna</a>",,"<a href=""https://www.wikidata.org/wiki/Q1695821"">Johann Peter van Ghelen</a>",1738,4,True,"<a href=""https://www.wikidata.org/wiki/Q19288260"">Carlo Arrigoni</a>",False
"ESTERE SALTATA. in Venezia, per il Sarzina. 1628 in 12. — di Francesco Ferrari.",Estere Saltata,,Francesco Ferrari,?,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q122599211"">Giacomo Sarzina</a>",1628,12,False,,False
"ESTER, ovvero, la Caduta di Amanno. Azione Sacra per Musica. — in Mantova, per gli Osanna. 1690 in 8 — d'Incerto Autore.",Ester,La Caduta Di Amanno,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",azione sacra,,"<a href=""https://www.wikidata.org/wiki/Q6247"">Mantua</a>",,Osanna,1690,8,True,,False
"ESTER. Oratorio. — in Bologna, per il Monti 1695 in 8 — di Giacomo Antonio Bergamori, Bolognese.",Ester,,"<a href=""https://www.wikidata.org/wiki/Q98138197"">Giacomo Antonio Bergamori</a>",oratorio,,"<a href=""https://www.wikidata.org/wiki/Q1891"">Bologna</a>",,"<a href=""https://www.wikidata.org/wiki/Q93123102"">Giacomo Monti</a>",1695,8,False,,False
"ESTER. Rappresentazione della Regina Ester (in ottava rima) — in Siena, alla Loggia del Papa senz'anno in 4 — in Firenze senza Stampatore. 1558 in 4 — ed ivi, per Giovanni Baleni nell'anno 1587 in 4 — d'Incerto Autore.",Ester,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",rappresentazione,verse,"<a href=""https://www.wikidata.org/wiki/Q2751"">Siena</a>",,unknown,0,4,False,,False
"ESTER. Tragedia. — in Milano, per gli Eredi di Melchior Malatesta. 1627 in 4 — di Federigo della Valle.",Ester,,"<a href=""https://www.wikidata.org/wiki/Q2904654"">Federico Della Valle</a>",tragedia,,"<a href=""https://www.wikidata.org/wiki/Q490"">Milan</a>",,Eredi di Melchior Malatesta,1627,4,False,,False
"ESTER. Tragedia tratta dalla Sacra Scrittura. — in Venezia, per Giacomo Sarzina. 1619 in 12. — di Leon Modena, Ebreo di Venezia.",Ester,,"<a href=""https://www.wikidata.org/wiki/Q1652176"">Leon of Modena</a>",tragedia tratta,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q122599211"">Giacomo Sarzina</a>",1619,12,False,,False
"ESTER. Tragedia di M. Racine tradorta dal Francese. — in Bologna, per il Pisarri. 1743 in 8 — da D. Bonifacio Collina.",Ester,,"<a href=""https://www.wikidata.org/wiki/Q60840343"">Bonifacio Collina</a>",tragedia,,"<a href=""https://www.wikidata.org/wiki/Q1891"">Bologna</a>",,"<a href=""https://www.wikidata.org/wiki/Q96622995"">Antonio Pisarri</a>",1743,8,False,,False
"ESTER. Tragedia di M. Racine tradotta (in prosa). — in Venezia, per Domenico Lovisa. 1736 in 12. — nel Tom. 2. dell'Opere del detto. — di Luisa Bergalli.",Ester,,"<a href=""https://www.wikidata.org/wiki/Q1433799"">Luisa Bergalli</a>",tragedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q19569565"">Domenico Lovisa</a>",1736,12,False,,True
"ESTER. Tragedia tradotta dal Francese. — in Milano, per Richino Malatesta. 1743 in 8 — di Pier Cesare Larghi Milanese.",Ester,,Pier Cesare Larghi,tragedia,,"<a href=""https://www.wikidata.org/wiki/Q490"">Milan</a>",,"<a href=""https://www.wikidata.org/wiki/Q122599193"">Giuseppe Richino Malatesta</a>",1743,8,False,,True
"ESTER TRIONFANTE. Dramma recitato l'anno 1700 in Sicilia, di Francesco Avola, Siciliano.",Ester Trionfante,,Francesco Avola,dramma,,"<a href=""https://www.wikidata.org/wiki/Q1460"">Sicily</a>",,unknown,1700,,False,,False
"ESTER. Tragedia. — in Verona, per Gian—Alberto Tumermanni. 1733 in 8 — di Francesca Manzomi, Milanese, tra gli Arcadi Fenicia.",Ester,,"<a href=""https://www.wikidata.org/wiki/Q17285111"">Francesca Manzoni</a>",tragedia,,"<a href=""https://www.wikidata.org/wiki/Q2028"">Verona</a>",,Giovanni Alberto Tumermanni,1733,8,False,,False
"ESTINTI FURORI. Commedia (in prosa). — in Roma, per Francesco Cavalli. 1628 in 12. — di Lodovico Moro.",Estinti Furori,,Lodovico Moro,commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q220"">Rome</a>",,Francesco Cavallo,1628,12,False,,False
"ETÀ DELL'ORO. Dramma Musicale. in Roma, per Francesco Corbelletti. 1632 in 12. — di Ottavio Tronsarelli.",Età Dell'Oro,,"<a href=""https://www.wikidata.org/wiki/Q113853427"">Ottavio Tronsarelli</a>",dramma musicale,,"<a href=""https://www.wikidata.org/wiki/Q220"">Rome</a>",,"<a href=""https://www.wikidata.org/wiki/Q1003311"">Francesco Corbelletti</a>",1632,12,False,,False
"ETÀ DELL'ORO. Introduzione al Balletto della Sereniss. Sign. Principessa Margherita, e delle Sig. Dame, fatto rappresentare dal Sereniss. Sig. Duca di Parma nel suo nuovo Teatrino, in occasione de felicissimi Sponsali del Sereniss. Sign. Principe Odoardo suo Primogenito, colla Sereniss. Sign. Principessa Dorotea Sofia di Neoburgo. — in Piacenza, nella Stamperia Ducale del Bazacchi. 1690 in 4 con fig. — Poesia del Dott. Lotto Lotti, Bolognese. — Musica di Giuseppe Tosi, Bolognese.",Età Dell'Oro,,"<a href=""https://www.wikidata.org/wiki/Q97575948"">Lotto Lotti</a>",introduzione,,"<a href=""https://www.wikidata.org/wiki/Q13329"">Piacenza</a>",,"<a href=""https://www.wikidata.org/wiki/Q117050910"">Giovanni Bazachi</a>",1690,4,True,"<a href=""https://www.wikidata.org/wiki/Q1528314"">Giuseppe Felice Tosi</a>",False
"ETEARCO. Dramma per Musica fappresentato alle Sacre Ces. RR. Maestà nel Carnevale dell’anno 1707 — in Vienna, per gli Eredi Cosmeroviani. 1707 in 8 — Poesia di Silvio Stampiglia, Romano. — Musica di Antonio Bononcini, Bolognese. — Replicato nell'antico Teatro della Pace di Roma nell'anno 1719 — in Roma nella Stamperia di Antonio de Rossi. 1719 in 8",Etearco,,"<a href=""https://www.wikidata.org/wiki/Q1375676"">Silvio Stampiglia</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q1741"">Vienna</a>",Teatro della Pace di Roma,Eredi Cosmeroviani,1707,8,True,"<a href=""https://www.wikidata.org/wiki/Q2359145"">Antonio Maria Bononcini</a>",False
ETERNA È LA VENDETTA DE' LETTERATI. Dramma recitato in Bologna l'anno 1642 — d’Incerto Autore.,Eterna È La Vendetta De' Letterati,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",dramma,,,,unknown,1642,,False,,False
"ETEOCLE, E POLINICE. Dramma rappresentato l'anno 1675 in Venezia nel Teatro di S. Salvatore. — in Venezia, per Francesco Niccolini. 1675 in 12. — Poesia del Dott. Tebaldo Fattorini, di Chiozza. — Musica di D. Gio. Legrenzi, Bergamasco, Maestro di Cappella della Ducale Basilica di S. Marco di Venezia. — Da alcuni è attribuito a Lionardo Loredano, Patrizio Veneto.","Eteocle, E Polinice",,"<a href=""https://www.wikidata.org/wiki/Q64686947"">Tebaldo Fattorini</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>","<a href=""https://www.wikidata.org/wiki/Q3982376"">Teatro Goldoni</a>",Francesco Niccolini,1675,12,True,"<a href=""https://www.wikidata.org/wiki/Q354947"">Giovanni Legrenzi</a>",False
"ETICA in Scena rappresentata (in prosa). — in Padova, per Giambatista Pasquati. 1671 in 4 — di Antonio dall'Acqua.",Etica In Scena Rappresentata (In Prosa),,"<a href=""https://www.wikidata.org/wiki/Q110928456"">Antonio dall'Acqua</a>",?,prose,"<a href=""https://www.wikidata.org/wiki/Q617"">Padua</a>",,"<a href=""https://www.wikidata.org/wiki/Q3762420"">Giovanni Battista Pasquali</a>",1671,4,False,,False
"ETIOPICA INFANTA. Tragicommedia. — in Pisa, per Silvestro Marchetti, 1629 in 4 — di L. M. P. cioè, Luigi Manzini P.",Etiopica Infanta,,"<a href=""https://www.wikidata.org/wiki/Q18736532"">Luigi Manzini</a>",tragicommedia,,"<a href=""https://www.wikidata.org/wiki/Q13375"">Pisa</a>",,"<a href=""https://www.wikidata.org/wiki/Q118733458"">Silvestro Marchetti</a>",1629,4,False,,False
"EVAGRIA. Commedia (non Eugaria, siccome dice il Riccoboni). — in Venezia, per Gio. Batista Sessa, e Fratelli. 1584 in 12. — ed ivi, per gli Eredi di Marchiò Sessa. 1597 in 12. — di Bernardino Pino, da Cagli.",Evagria,,"<a href=""https://www.wikidata.org/wiki/Q3638727"">Bernardino Pino da Cagli</a>",commedia,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,Eredi di Marchiò Sessa,1584,12,False,,False
"EVANDRO. Tragedia (in versi sciolti) dedicata all'Illustriss. e Reverendiss. Sig. il Sig. Cardinal Barberino Oche fu poi Clemente VIII. Sommo Pontefice Prefetto della Segnatura di Giustizia, e Legato di N. S. a Bologna. — in Fiorenza, per Gio. Donato, e Bernardino Giunti, e Compagni. 1613 in 12. — ed in Venezia, dalla Società Albrizziana l'anno 1732 in 8 — Poesia di Francesco Bracciolini dalle Api, Gentiluomo Pistolese. — in questa ultima Edizione si leggono alcune Memorie intorno la Vita dell'Autore brevemente scritte da quello stesso, che ha raccolte le presenti notizie Drammatiche.",Evandro,,"<a href=""https://www.wikidata.org/wiki/Q322022"">Francesco Bracciolini</a>",tragedia,verse,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",,Giovanni Donato e Bernardo Giunti,1613,12,False,,False
"EVANGELICA PARABOLA DELLE VERGINI PRUDENTI, E DELLE STOLTE. Composizione Drammatica. — in Siena, per Ercole Gori, 1642 in 12. — di Beuvenuto Flori, Sanese.","Evangelica Parabola Delle Vergini Prudenti, E Delle Stolte",,Benvenuto Flori,composizione drammatica,,"<a href=""https://www.wikidata.org/wiki/Q2751"">Siena</a>",,"<a href=""https://www.wikidata.org/wiki/Q118733371"">Ercole Gori</a>",1642,12,False,,False
"EUDAMIA. Favola Pastorale. — in Roma, per Antonio Rossi. 1717 in 8 — di Vincenzo Piazza, Forlivese, Conte, e Caval. di Santo Stefano, ma sotto nome di Enotro Pallancio, Pastor Arcade.",Eudamia,,"<a href=""https://www.wikidata.org/wiki/Q114136973"">Vincenzo Piazza</a>",favola pastorale,,"<a href=""https://www.wikidata.org/wiki/Q220"">Rome</a>",,"<a href=""https://www.wikidata.org/wiki/Q118733461"">Antonio Rossi</a>",1717,8,False,,False
"EUDOSIA. Tragedia (in versi sciolti). — in Ferrara, per Giuseppe Barbieri. 1728 in 8 — del Co. Francesco Crispi, Ferrarese. — Questa Tragedia è nata nella Conversazione della Vigna in Ferrara.",Eudosia,,"<a href=""https://www.wikidata.org/wiki/Q332626"">Francesco Crispi</a>",tragedia,verse,"<a href=""https://www.wikidata.org/wiki/Q13362"">Ferrara</a>",,Giuseppe Barbieri,1728,8,False,,False
"EUDOSSIA. Dramma recitato nel Teatro del Seminario Romano nelle vacanze del Carnevale l’anno 1692 in Colonia, senza Stampatore. 1692 in 12. — d'Incerto Autore.",Eudossia,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q365"">Cologne</a>",Teatro del Seminario Romano,unknown,1692,12,False,,False
"EUDOSSIA, ovvero, la Innocenza incolpata. Opera Scenica (in prosa). — in Bologna, per Giacomo Monti. 1667 in 12. — ed ivi, per Gioseffo Monti. 1688 in 12. — di Gio. Francesco Savaro del Pizzo, Archidiacono di Mileto.",Eudossia,La Innocenza Incolpata,"<a href=""https://www.wikidata.org/wiki/Q3767286"">Giovanni Francesco Savaro</a>",opera scenica,prose,"<a href=""https://www.wikidata.org/wiki/Q1891"">Bologna</a>",,"<a href=""https://www.wikidata.org/wiki/Q93123102"">Giacomo Monti</a>",1667,12,False,,False
